timestamp,node_id,bytes
2026-01-19 09:00:00,node_0,3049
2026-01-19 09:00:05,node_0,3006
2026-01-19 09:00:10,node_0,3104
2026-01-19 09:00:15,node_0,3212
2026-01-19 09:00:20,node_0,3056
2026-01-19 09:00:25,node_0,3076
2026-01-19 09:00:30,node_0,3277
2026-01-19 09:00:35,node_0,3216
2026-01-19 09:00:40,node_0,3112
2026-01-19 09:00:45,node_0,3234
2026-01-19 09:00:50,node_0,3153
2026-01-19 09:00:55,node_0,3172
2026-01-19 09:01:00,node_0,3263
2026-01-19 09:01:05,node_0,3067
2026-01-19 09:01:10,node_0,3106
2026-01-19 09:01:15,node_0,3242
2026-01-19 09:01:20,node_0,3217
2026-01-19 09:01:25,node_0,3369
2026-01-19 09:01:30,node_0,3267
2026-01-19 09:01:35,node_0,3236
2026-01-19 09:01:40,node_0,3543
2026-01-19 09:01:45,node_0,3394
2026-01-19 09:01:50,node_0,3443
2026-01-19 09:01:55,node_0,3313
2026-01-19 09:02:00,node_0,3420
2026-01-19 09:02:05,node_0,3505
2026-01-19 09:02:10,node_0,3399
2026-01-19 09:02:15,node_0,3571
2026-01-19 09:02:20,node_0,3492
2026-01-19 09:02:25,node_0,3542
2026-01-19 09:02:30,node_0,3530
2026-01-19 09:02:35,node_0,3795
2026-01-19 09:02:40,node_0,3627
2026-01-19 09:02:45,node_0,3542
2026-01-19 09:02:50,node_0,3749
2026-01-19 09:02:55,node_0,3563
2026-01-19 09:03:00,node_0,3725
2026-01-19 09:03:05,node_0,3527
2026-01-19 09:03:10,node_0,3609
2026-01-19 09:03:15,node_0,3780
2026-01-19 09:03:20,node_0,3852
2026-01-19 09:03:25,node_0,3814
2026-01-19 09:03:30,node_0,3803
2026-01-19 09:03:35,node_0,3803
2026-01-19 09:03:40,node_0,3704
2026-01-19 09:03:45,node_0,3797
2026-01-19 09:03:50,node_0,3841
2026-01-19 09:03:55,node_0,4011
2026-01-19 09:04:00,node_0,3957
2026-01-19 09:04:05,node_0,3764
2026-01-19 09:04:10,node_0,3991
2026-01-19 09:04:15,node_0,3937
2026-01-19 09:04:20,node_0,3926
2026-01-19 09:04:25,node_0,4072
